variable,estimate,group1,group2,n1,n2,statistic,p,conf.low,conf.high,method,alternative,p.adj,p.adj.signif,level,ecosystem,type
denitrification,1.255506785,environment,plastisphere,143,120,5748.5,4.07E-06,1.791987179,0.732958792,Wilcoxon,two.sided,4.07E-06,****,enriched,Freshwater,Nitrogen_metabolism
nitrate_denitrification,1.17195434,environment,plastisphere,143,120,5880.5,1.12E-05,1.708981025,0.674997918,Wilcoxon,two.sided,1.12E-05,****,enriched,Freshwater,Nitrogen_metabolism
nitrate_reduction,4.015043156,environment,plastisphere,143,120,4752,4.68E-10,5.34703682,2.795022466,Wilcoxon,two.sided,4.68E-10,****,enriched,Freshwater,Nitrogen_metabolism
nitrate_respiration,2.52371636,environment,plastisphere,143,120,4972,4.32E-09,3.42899449,1.819013824,Wilcoxon,two.sided,4.32E-09,****,enriched,Freshwater,Nitrogen_metabolism
nitrite_denitrification,1.255506785,environment,plastisphere,143,120,5748.5,4.07E-06,1.791987179,0.732958792,Wilcoxon,two.sided,4.07E-06,****,enriched,Freshwater,Nitrogen_metabolism
nitrite_respiration,1.433968026,environment,plastisphere,143,120,5607,1.31E-06,1.959972289,0.875968175,Wilcoxon,two.sided,1.31E-06,****,enriched,Freshwater,Nitrogen_metabolism
nitrogen_respiration,2.647908973,environment,plastisphere,143,120,4853,1.32E-09,3.558039812,1.892997594,Wilcoxon,two.sided,1.32E-09,****,enriched,Freshwater,Nitrogen_metabolism
nitrous_oxide_denitrification,1.255506785,environment,plastisphere,143,120,5748.5,4.07E-06,1.791987179,0.732958792,Wilcoxon,two.sided,4.07E-06,****,enriched,Freshwater,Nitrogen_metabolism
nitrification,-0.091018488,environment,plastisphere,143,120,11383.5,5.03E-06,-0.049997593,-0.149980274,Wilcoxon,two.sided,5.03E-06,****,depleted,Freshwater,Nitrogen_metabolism
aliphatic_non_methane_hydrocarbon_degradation,0.009958674,environment,plastisphere,143,120,8212.5,0.55,0.052950466,-0.026987596,Wilcoxon,two.sided,0.55,ns,ns,Freshwater,Organic_matter_metabolism
aromatic_compound_degradation,1.402986595,environment,plastisphere,143,120,3470,9.10E-17,2.161963346,1.033953804,Wilcoxon,two.sided,9.10E-17,****,enriched,Freshwater,Organic_matter_metabolism
aromatic_hydrocarbon_degradation,0.036924358,environment,plastisphere,143,120,5802,6.14E-06,0.059008251,0.017988481,Wilcoxon,two.sided,6.14E-06,****,enriched,Freshwater,Organic_matter_metabolism
fermentation,2.429330606,environment,plastisphere,143,120,5985.5,2.42E-05,4.004085712,1.103991096,Wilcoxon,two.sided,2.42E-05,****,enriched,Freshwater,Organic_matter_metabolism
hydrocarbon_degradation,0.27909567,environment,plastisphere,143,120,6806.5,0.004,0.476923042,0.081027071,Wilcoxon,two.sided,0.004,**,enriched,Freshwater,Organic_matter_metabolism
ligninolysis,4.59E-05,environment,plastisphere,143,120,7906.5,0.148,5.11E-06,-3.86E-05,Wilcoxon,two.sided,0.148,ns,ns,Freshwater,Organic_matter_metabolism
oil_bioremediation,1.47E-05,environment,plastisphere,143,120,7913.5,0.11,6.50E-05,-1.23E-05,Wilcoxon,two.sided,0.11,ns,ns,Freshwater,Organic_matter_metabolism
plastic_degradation,5.418674973,environment,plastisphere,143,120,6709,0.002,9.058951355,1.889997418,Wilcoxon,two.sided,0.002,**,enriched,Freshwater,Organic_matter_metabolism2
POPs_degradation,15.00601364,environment,plastisphere,143,120,3739,3.32E-15,18.40701259,11.50894809,Wilcoxon,two.sided,3.32E-15,****,enriched,Freshwater,Organic_matter_metabolism2
denitrification,-0.041962545,environment,plastisphere,132,300,20080.5,0.815,0.337985609,-0.400036443,Wilcoxon,two.sided,0.815,ns,ns,Seawater,Nitrogen_metabolism
nitrate_denitrification,-0.041035991,environment,plastisphere,132,300,20090,0.809,0.337940905,-0.40202889,Wilcoxon,two.sided,0.809,ns,ns,Seawater,Nitrogen_metabolism
nitrate_reduction,-1.483045627,environment,plastisphere,132,300,23239.5,0.004,-0.498969868,-2.468982664,Wilcoxon,two.sided,0.004,**,depleted,Seawater,Nitrogen_metabolism
nitrate_respiration,0.863992449,environment,plastisphere,132,300,16086.5,0.002,1.499953862,0.293979457,Wilcoxon,two.sided,0.002,**,enriched,Seawater,Nitrogen_metabolism
nitrite_denitrification,-0.041012796,environment,plastisphere,132,300,20090.5,0.808,0.337967693,-0.402055074,Wilcoxon,two.sided,0.808,ns,ns,Seawater,Nitrogen_metabolism
nitrite_respiration,0.02097717,environment,plastisphere,132,300,19678.5,0.919,0.478950407,-0.36505511,Wilcoxon,two.sided,0.919,ns,ns,Seawater,Nitrogen_metabolism
nitrogen_respiration,0.967032807,environment,plastisphere,132,300,15872,0.001,1.652009695,0.374961741,Wilcoxon,two.sided,0.001,**,enriched,Seawater,Nitrogen_metabolism
nitrous_oxide_denitrification,-0.041012796,environment,plastisphere,132,300,20090.5,0.808,0.337967693,-0.402055074,Wilcoxon,two.sided,0.808,ns,ns,Seawater,Nitrogen_metabolism
nitrification,-0.003970971,environment,plastisphere,132,300,22782,0.012,-2.02E-05,-0.013027606,Wilcoxon,two.sided,0.012,*,depleted,Seawater,Nitrogen_metabolism
aliphatic_non_methane_hydrocarbon_degradation,0.094964226,environment,plastisphere,132,300,14372.5,5.52E-06,0.192084553,0.036951196,Wilcoxon,two.sided,5.52E-06,****,enriched,Seawater,Organic_matter_metabolism
aromatic_compound_degradation,-0.069995463,environment,plastisphere,132,300,22455,0.026,-0.009026184,-0.146078755,Wilcoxon,two.sided,0.026,*,depleted,Seawater,Organic_matter_metabolism
aromatic_hydrocarbon_degradation,0.008005293,environment,plastisphere,132,300,16307,0.003,0.018027201,0.001975966,Wilcoxon,two.sided,0.003,**,enriched,Seawater,Organic_matter_metabolism
fermentation,0.39944407,environment,plastisphere,132,300,18168,0.172,1.017023058,-0.16597828,Wilcoxon,two.sided,0.172,ns,ns,Seawater,Organic_matter_metabolism
hydrocarbon_degradation,0.733011726,environment,plastisphere,132,300,12175,1.79E-10,1.138920335,0.457039572,Wilcoxon,two.sided,1.79E-10,****,enriched,Seawater,Organic_matter_metabolism
ligninolysis,-1.12E-05,environment,plastisphere,132,300,20768.5,0.377,2.55E-05,-5.56E-05,Wilcoxon,two.sided,0.377,ns,ns,Seawater,Organic_matter_metabolism
oil_bioremediation,0.00496709,environment,plastisphere,132,300,16055.5,0.001,0.017009243,7.20E-06,Wilcoxon,two.sided,0.001,**,enriched,Seawater,Organic_matter_metabolism
plastic_degradation,4.921569617,environment,plastisphere,132,300,11621,7.82E-12,6.86704738,3.47701122,Wilcoxon,two.sided,7.82E-12,****,enriched,Seawater,Organic_matter_metabolism2
POPs_degradation,21.39497008,environment,plastisphere,132,300,7999,5.51E-23,24.75697671,18.11201136,Wilcoxon,two.sided,5.51E-23,****,enriched,Seawater,Organic_matter_metabolism2
denitrification,-1.858000686,environment,plastisphere,148,170,21338.5,9.24E-27,-1.430983094,-2.309018838,Wilcoxon,two.sided,9.24E-27,****,depleted,Terrestrial,Nitrogen_metabolism
nitrate_denitrification,-1.871046696,environment,plastisphere,148,170,21433,2.64E-27,-1.443037924,-2.321976368,Wilcoxon,two.sided,2.64E-27,****,depleted,Terrestrial,Nitrogen_metabolism
nitrate_reduction,-4.327791507,environment,plastisphere,148,170,17447,2.67E-09,-2.856009851,-5.789009448,Wilcoxon,two.sided,2.67E-09,****,depleted,Terrestrial,Nitrogen_metabolism
nitrate_respiration,-0.967703374,environment,plastisphere,148,170,14846.5,0.006,-0.312973405,-1.635007418,Wilcoxon,two.sided,0.006,**,depleted,Terrestrial,Nitrogen_metabolism
nitrite_denitrification,-1.858000686,environment,plastisphere,148,170,21338.5,9.24E-27,-1.430983094,-2.309018838,Wilcoxon,two.sided,9.24E-27,****,depleted,Terrestrial,Nitrogen_metabolism
nitrite_respiration,-1.699655577,environment,plastisphere,148,170,18641,1.26E-13,-1.18699086,-2.291949402,Wilcoxon,two.sided,1.26E-13,****,depleted,Terrestrial,Nitrogen_metabolism
nitrogen_respiration,-0.8973471,environment,plastisphere,148,170,14676.5,0.01,-0.241981361,-1.56199096,Wilcoxon,two.sided,0.01,*,depleted,Terrestrial,Nitrogen_metabolism
nitrous_oxide_denitrification,-1.858000686,environment,plastisphere,148,170,21338.5,9.24E-27,-1.430983094,-2.309018838,Wilcoxon,two.sided,9.24E-27,****,depleted,Terrestrial,Nitrogen_metabolism
nitrification,0.041502462,environment,plastisphere,148,170,12210.5,0.652,0.286996778,-0.14995712,Wilcoxon,two.sided,0.652,ns,ns,Terrestrial,Nitrogen_metabolism
aliphatic_non_methane_hydrocarbon_degradation,0.159037523,environment,plastisphere,148,170,4269,2.76E-24,0.222045079,0.121044659,Wilcoxon,two.sided,2.76E-24,****,enriched,Terrestrial,Organic_matter_metabolism
aromatic_compound_degradation,3.336974381,environment,plastisphere,148,170,4200,1.23E-24,4.02793964,2.495960899,Wilcoxon,two.sided,1.23E-24,****,enriched,Terrestrial,Organic_matter_metabolism
aromatic_hydrocarbon_degradation,0.536048365,environment,plastisphere,148,170,6767.5,1.19E-12,0.952977675,0.294075925,Wilcoxon,two.sided,1.19E-12,****,enriched,Terrestrial,Organic_matter_metabolism
fermentation,-1.107024096,environment,plastisphere,148,170,14129.5,0.058,0.032956917,-2.316001337,Wilcoxon,two.sided,0.058,ns,ns,Terrestrial,Organic_matter_metabolism
hydrocarbon_degradation,1.365535363,environment,plastisphere,148,170,3633,7.47E-28,1.900964224,0.996986159,Wilcoxon,two.sided,7.47E-28,****,enriched,Terrestrial,Organic_matter_metabolism
ligninolysis,0.029042582,environment,plastisphere,148,170,8396.5,2.31E-07,0.076983819,0.009009759,Wilcoxon,two.sided,2.31E-07,****,enriched,Terrestrial,Organic_matter_metabolism
oil_bioremediation,0,environment,plastisphere,148,170,12506,0.354,0,0,Wilcoxon,two.sided,0.354,ns,ns,Terrestrial,Organic_matter_metabolism
plastic_degradation,14.75900152,environment,plastisphere,148,170,4591,1.54E-22,18.39897624,11.7579853,Wilcoxon,two.sided,1.54E-22,****,enriched,Terrestrial,Organic_matter_metabolism2
POPs_degradation,14.12966046,environment,plastisphere,148,170,6115,2.69E-15,17.32495691,10.88198587,Wilcoxon,two.sided,2.69E-15,****,enriched,Terrestrial,Organic_matter_metabolism2
