sample,Carrier,Ecosystem,Plant,Animal,Zoonotic
AA2018s016,Plastisphere,Freshwater,22501,44850,25661
AA2018s017,Plastisphere,Freshwater,27056,48714,29115
AA2018s018,Plastisphere,Freshwater,23140,42726,25616
AA2018s019,Plastisphere,Freshwater,22645,45392,26276
AA2018s020,Plastisphere,Freshwater,24026,44425,25904
AA2018s021,Plastisphere,Freshwater,80095,97592,82952
AA2018s022,Plastisphere,Freshwater,80609,97834,89567
AA2018s023,Plastisphere,Freshwater,34049,50330,34451
AA2018s024,Plastisphere,Freshwater,36365,52882,36445
AA2018s025,Environment,Freshwater,66522,84659,70267
AA2018s026,Environment,Freshwater,65039,88442,66398
AA2018s027,Environment,Freshwater,60755,85523,70261
AA2018s028,Environment,Freshwater,18711,51601,13611
AA2018s029,Environment,Freshwater,20525,50762,14559
AA2018s030,Environment,Freshwater,18343,53135,12557
De2019s019,Plastisphere,Seawater,8391,13761,84515
De2019s023,Plastisphere,Seawater,43499,56607,48944
DH2018s001,Plastisphere,Seawater,26475,49163,40825
DH2018s003,Environment,Seawater,4045,55642,11597
DH2018s004,Plastisphere,Seawater,19104,42857,30894
DH2018s005,Plastisphere,Seawater,46011,69301,65121
DH2018s006,Plastisphere,Seawater,50221,74725,68887
DH2018s007,Plastisphere,Seawater,21999,70095,50083
DH2018s008,Environment,Seawater,4139,55664,9997
DH2018s010,Plastisphere,Seawater,25419,41574,35321
DH2018s012,Environment,Seawater,4223,56769,15004
DH2018s013,Plastisphere,Seawater,63950,79147,66662
DH2018s016,Plastisphere,Seawater,27956,48163,38256
DH2018s017,Environment,Seawater,8394,63448,13668
DM2018s007,Plastisphere,Seawater,8280,86901,63824
DM2018s010,Plastisphere,Seawater,19400,63984,28625
DM2018s021,Plastisphere,Seawater,17544,42499,24723
DM2018s023,Plastisphere,Seawater,14019,44580,20243
DM2018s028,Plastisphere,Seawater,9906,46524,12939
DM2018s031,Plastisphere,Seawater,1962,45058,2385
DM2018s033,Plastisphere,Seawater,31155,62420,37123
DM2018s034,Plastisphere,Seawater,7129,31488,11621
DM2018s036,Plastisphere,Seawater,12602,67598,24945
DM2018s037,Plastisphere,Seawater,23618,90693,81375
DM2018s038,Plastisphere,Seawater,40017,75879,36795
DM2018s042,Plastisphere,Seawater,33903,51932,39115
DM2018s045,Plastisphere,Seawater,10225,50991,18150
DM2018s051,Plastisphere,Seawater,7125,55909,9725
DM2018s053,Plastisphere,Seawater,22583,62645,25593
DM2018s054,Plastisphere,Seawater,27263,59020,34681
DM2018s057,Plastisphere,Seawater,10469,65516,28127
DM2018s063,Plastisphere,Seawater,25147,78462,56959
DM2018s064,Plastisphere,Seawater,30079,87136,40556
DM2018s065,Plastisphere,Seawater,42885,70745,49300
DM2018s070,Plastisphere,Seawater,3184,95697,5734
DM2018s071,Plastisphere,Seawater,50812,81010,63159
DM2018s074,Plastisphere,Seawater,8499,66924,16252
DM2018s077,Plastisphere,Seawater,65379,85261,69996
DM2018s078,Plastisphere,Seawater,21771,56547,28793
DM2018s081,Plastisphere,Seawater,24073,85265,74820
DM2018s083,Plastisphere,Seawater,47697,72918,46382
DM2018s089,Plastisphere,Seawater,29777,50142,35399
DM2018s096,Plastisphere,Seawater,6656,21393,11214
DM2018s099,Plastisphere,Seawater,35589,82955,42624
DM2018s112,Plastisphere,Seawater,41942,78189,44957
DM2018s115,Plastisphere,Seawater,18720,77577,45398
DM2018s118,Plastisphere,Seawater,21515,58489,35861
DM2018s119,Plastisphere,Seawater,27961,63050,36384
DM2018s124,Plastisphere,Seawater,17062,65362,29680
DM2018s131,Plastisphere,Seawater,14845,50911,24559
DM2018s133,Plastisphere,Seawater,28381,53021,41725
DM2018s138,Plastisphere,Seawater,16477,45998,34845
DM2018s139,Plastisphere,Seawater,28670,65853,52187
DM2018s140,Plastisphere,Seawater,19990,50306,35765
DM2018s142,Plastisphere,Seawater,20210,56252,40016
DM2018s144,Plastisphere,Seawater,45694,73382,48724
DM2018s149,Plastisphere,Seawater,67359,92577,76118
DT2015s001,Environment,Seawater,10737,65707,9117
DT2015s002,Environment,Seawater,9963,66026,8528
DT2015s003,Environment,Seawater,8578,60515,8136
DT2015s004,Environment,Seawater,8726,59633,7992
DT2015s005,Environment,Seawater,12343,67111,8340
DT2015s006,Environment,Seawater,11537,68829,7848
DT2015s007,Environment,Seawater,10255,69367,7574
DT2015s008,Environment,Seawater,10665,66704,7137
DT2015s009,Environment,Seawater,11126,64640,8390
DT2015s010,Environment,Seawater,11232,61794,8704
DT2015s011,Environment,Seawater,11587,64476,8303
DT2015s012,Environment,Seawater,12473,62562,8528
DT2015s031,Environment,Seawater,3577,32835,6193
DT2015s032,Environment,Seawater,3899,33296,6909
DT2015s033,Environment,Seawater,3065,32104,5051
DT2015s034,Environment,Seawater,3389,33550,5297
DT2015s035,Environment,Seawater,5175,29767,6022
DT2015s036,Environment,Seawater,3220,22996,3746
DT2015s037,Environment,Seawater,3298,23766,4091
DT2015s038,Environment,Seawater,3557,27367,5012
DT2015s039,Environment,Seawater,4942,38812,6022
DT2015s040,Environment,Seawater,3341,32098,5207
DT2015s041,Environment,Seawater,3140,32650,4797
DT2015s042,Environment,Seawater,4146,36580,8318
DT2015s043,Environment,Seawater,3882,29273,5183
DT2015s044,Environment,Seawater,3641,27824,4996
DT2015s045,Environment,Seawater,4151,30068,5534
DT2015s046,Environment,Seawater,5424,35830,5141
DT2015s047,Environment,Seawater,4242,30443,8085
DT2015s048,Environment,Seawater,5169,31198,7135
DT2015s049,Environment,Seawater,4932,29504,7385
DT2015s050,Environment,Seawater,4862,31008,6317
DT2015s051,Environment,Seawater,6907,43291,7462
DT2015s052,Environment,Seawater,7322,40878,7002
DT2015s053,Environment,Seawater,7192,42604,7808
DT2015s054,Environment,Seawater,5570,38241,6977
DT2015s058,Environment,Seawater,6560,37608,5295
DT2015s059,Environment,Seawater,4264,32741,5080
DT2015s060,Environment,Seawater,4617,31743,5276
DT2015s061,Environment,Seawater,4584,34664,9584
DT2015s062,Environment,Seawater,4931,34380,5273
DT2015s063,Environment,Seawater,3966,30846,5519
DT2015s064,Environment,Seawater,5073,41155,5402
DT2015s065,Environment,Seawater,4914,41656,6724
DT2015s066,Environment,Seawater,4271,40390,4570
DT2015s071,Environment,Seawater,6673,55019,8095
DT2015s072,Environment,Seawater,7027,57411,7988
DT2015s073,Environment,Seawater,7920,54643,9363
DT2015s074,Environment,Seawater,8733,55707,9707
DT2015s075,Environment,Seawater,4262,41000,6368
DT2015s076,Environment,Seawater,6336,45660,7179
DT2015s077,Environment,Seawater,5042,39255,7435
DT2015s078,Environment,Seawater,5182,36291,6676
DT2015s079,Environment,Seawater,6165,45889,8166
DT2015s080,Environment,Seawater,6819,47353,8594
DT2015s081,Environment,Seawater,4841,43062,7013
DT2015s082,Environment,Seawater,4256,38661,8319
DT2015s083,Environment,Seawater,5768,40318,7616
DT2015s084,Environment,Seawater,5848,42750,8375
DT2015s085,Environment,Seawater,6304,39361,8020
DT2015s092,Plastisphere,Seawater,14961,75143,19807
DT2015s094,Plastisphere,Seawater,7551,31849,11321
DT2015s099,Plastisphere,Seawater,10933,39144,15874
DT2015s100,Plastisphere,Seawater,4114,17671,8305
DT2015s104,Plastisphere,Seawater,6160,48166,10569
DT2015s106,Plastisphere,Seawater,2976,44860,6019
DT2015s110,Plastisphere,Seawater,18757,45759,23232
DT2015s111,Plastisphere,Seawater,21151,39610,25015
EC2019s001,Environment,Seawater,5379,36931,12054
EC2019s002,Environment,Seawater,5098,36719,11388
EC2019s005,Environment,Seawater,5484,36025,11856
EC2019s006,Environment,Seawater,5427,39298,13042
EC2019s016,Plastisphere,Seawater,21268,35388,27883
EC2019s023,Plastisphere,Seawater,17309,30687,23993
EC2019s034,Plastisphere,Seawater,15227,25608,19567
EC2019s037,Plastisphere,Seawater,17524,32860,25509
EC2019s038,Plastisphere,Seawater,14856,61066,22878
EC2019s040,Environment,Seawater,8002,54964,21175
EC2019s042,Plastisphere,Seawater,10188,63383,17617
ERR4232623,Plastisphere,Terrestrial,41109,66040,56893
ERR4232624,Plastisphere,Terrestrial,47226,69155,59352
ERR4232625,Environment,Terrestrial,42640,62547,52800
ERR4232626,Environment,Terrestrial,45053,65436,55475
ERR4232627,Environment,Terrestrial,38739,56604,49647
ERR4232628,Environment,Terrestrial,39660,57284,49541
ERR4232629,Plastisphere,Terrestrial,52890,64824,57004
ERR4232630,Plastisphere,Terrestrial,51900,63524,55364
ERR4232631,Environment,Terrestrial,40048,56473,46746
ERR4232632,Environment,Terrestrial,34155,49555,41471
ERR4232633,Environment,Terrestrial,37252,54096,45398
ERR4232634,Environment,Terrestrial,33411,50644,41926
ERR4232635,Plastisphere,Terrestrial,45384,63280,52843
ERR4232636,Plastisphere,Terrestrial,49559,68799,59410
ERR4232637,Plastisphere,Terrestrial,50689,69545,60237
ERR4232638,Plastisphere,Terrestrial,53120,78952,63859
ERR4232639,Plastisphere,Terrestrial,53866,79754,64948
ERR4232640,Plastisphere,Terrestrial,48611,67434,57601
ERR4232641,Plastisphere,Terrestrial,48511,67082,57227
ERR4232642,Plastisphere,Terrestrial,61181,83204,72766
ERR4232643,Plastisphere,Terrestrial,62752,84763,74725
ERR4232644,Plastisphere,Terrestrial,50932,66321,61680
ERR4232645,Plastisphere,Terrestrial,50353,65360,60735
ERR4232646,Plastisphere,Terrestrial,49297,66325,59856
ERR4232647,Plastisphere,Terrestrial,49211,66376,59986
Es2019s006,Plastisphere,Terrestrial,42630,67157,54487
Es2019s007,Plastisphere,Terrestrial,46405,54243,50188
Es2019s009,Plastisphere,Terrestrial,29877,46510,38201
Es2019s010,Plastisphere,Terrestrial,33177,56051,39927
Es2019s016,Plastisphere,Terrestrial,39581,63874,51405
Es2019s017,Plastisphere,Terrestrial,30283,47239,32704
Es2019s018,Plastisphere,Terrestrial,20572,37241,30132
Es2019s019,Plastisphere,Terrestrial,50635,68305,49449
Es2019s020,Plastisphere,Terrestrial,47187,68447,44458
Es2019s026,Plastisphere,Terrestrial,30190,76742,60081
Es2019s027,Plastisphere,Terrestrial,18113,31017,21566
Es2019s028,Plastisphere,Terrestrial,43047,60610,50930
Es2019s029,Plastisphere,Terrestrial,18423,28605,20059
Es2019s030,Plastisphere,Terrestrial,41178,71443,46336
Es2019s036,Plastisphere,Terrestrial,32315,57551,34336
Es2019s037,Plastisphere,Terrestrial,29669,40965,33300
Es2019s038,Plastisphere,Terrestrial,48683,50941,48933
Es2019s039,Plastisphere,Terrestrial,29441,44784,31943
Es2019s040,Plastisphere,Terrestrial,35308,60546,40315
Fr2018s002,Plastisphere,Seawater,17414,54995,19581
Fr2018s004,Plastisphere,Seawater,30214,69039,46776
Fr2018s009,Plastisphere,Seawater,55334,86049,57729
Fr2018s013,Plastisphere,Seawater,24510,60862,31729
Fr2018s015,Plastisphere,Seawater,22310,60245,29330
Fr2018s016,Plastisphere,Seawater,28072,60678,38284
Fr2018s018,Plastisphere,Seawater,12061,40916,18125
Fr2018s020,Plastisphere,Seawater,71834,81005,72990
Fr2018s024,Plastisphere,Seawater,19076,45791,20617
Fr2018s027,Plastisphere,Seawater,29490,79667,30603
Fr2018s034,Environment,Seawater,34270,81022,42387
Fr2018s035,Environment,Seawater,23018,82451,32926
Fr2018s036,Environment,Seawater,24547,81285,31464
Fr2018s037,Environment,Seawater,5305,67801,20056
Fr2018s038,Environment,Seawater,5332,69335,16972
Fr2018s039,Environment,Seawater,5025,69409,18790
Fr2018s043,Plastisphere,Seawater,17333,49642,14510
Fr2018s044,Plastisphere,Seawater,34594,75135,52819
Fr2018s046,Plastisphere,Seawater,15073,36293,17727
Fr2018s051,Plastisphere,Seawater,34400,65771,48670
Fr2018s052,Plastisphere,Seawater,25890,62182,35546
Fr2018s053,Plastisphere,Seawater,32586,71430,49824
Fr2018s055,Plastisphere,Seawater,23173,52732,24065
Fr2018s056,Plastisphere,Seawater,36152,48548,40928
Fr2018s058,Plastisphere,Seawater,19866,50780,26098
Fr2018s060,Plastisphere,Seawater,29854,59163,42829
Fr2018s068,Plastisphere,Seawater,39423,82698,63790
Fr2018s070,Environment,Seawater,7384,63259,21940
Fr2018s071,Environment,Seawater,3483,73125,14409
Fr2018s072,Environment,Seawater,7859,59350,19483
Fr2018s076,Environment,Seawater,3518,66949,8013
Fr2018s077,Environment,Seawater,2559,74552,5838
Fr2018s078,Environment,Seawater,2264,73605,4493
FW1,Environment,Freshwater,40741,52877,37974
FW10,Environment,Freshwater,47960,62852,40263
FW11,Environment,Freshwater,53584,72439,51103
FW12,Environment,Freshwater,46564,67972,43058
FW13,Environment,Freshwater,32320,54012,33021
FW14,Environment,Freshwater,45306,63314,39449
FW15,Environment,Freshwater,44919,64151,38813
FW16,Environment,Freshwater,39927,59991,39730
FW17,Environment,Freshwater,41034,63308,42474
FW18,Environment,Freshwater,44959,62374,41873
FW2,Environment,Freshwater,38827,53113,35849
FW3,Environment,Freshwater,41349,55623,37614
FW4,Environment,Freshwater,41310,55761,37519
FW5,Environment,Freshwater,36929,56089,33893
FW6,Environment,Freshwater,29276,50060,27741
FW7,Environment,Freshwater,46991,69316,40840
FW8,Environment,Freshwater,46021,64752,40988
FW9,Environment,Freshwater,50955,72487,43078
Ho2014s012,Plastisphere,Freshwater,47040,73804,47760
Ho2014s013,Plastisphere,Freshwater,24206,53737,43856
Ho2014s014,Plastisphere,Freshwater,20243,45932,37068
Ho2014s023,Plastisphere,Freshwater,40820,65512,47325
Ho2014s024,Plastisphere,Freshwater,43073,60273,41987
Ho2014s039,Plastisphere,Freshwater,79142,97783,95974
Ho2014s043,Plastisphere,Freshwater,64870,76477,70433
Ho2014s045,Plastisphere,Freshwater,75591,96735,94697
Ho2017s005,Plastisphere,Freshwater,63880,84949,58114
Ho2017s006,Plastisphere,Freshwater,61230,82719,56280
Ho2017s007,Plastisphere,Freshwater,55642,85344,49033
Ho2017s008,Plastisphere,Freshwater,52890,92886,53727
Ho2017s009,Environment,Freshwater,19642,27146,13690
Ho2017s010,Environment,Freshwater,23013,32724,18181
Ho2017s011,Environment,Freshwater,22888,35539,19947
Ho2017s012,Environment,Freshwater,23985,38841,22163
Ho2017s014,Environment,Freshwater,32322,47830,28141
Ho2017s015,Environment,Freshwater,35878,53289,32913
Ho2017s016,Environment,Freshwater,42324,60620,40248
Ho2017s017,Environment,Freshwater,42995,60828,41661
Ho2017s022,Plastisphere,Freshwater,35992,92112,34076
Ho2017s023,Plastisphere,Freshwater,26440,93577,26844
Ho2017s025,Plastisphere,Freshwater,35940,65354,38648
Ho2017s026,Plastisphere,Freshwater,50670,70422,48292
Ho2017s035,Environment,Freshwater,38879,53604,30557
Ho2017s046,Environment,Freshwater,35915,54002,25362
Ho2017s048,Environment,Freshwater,40438,56767,32504
Ho2017s049,Environment,Freshwater,38618,58594,29349
Ki2018s008,Plastisphere,Seawater,8739,28774,17626
Ki2018s010,Plastisphere,Seawater,10636,30893,20824
Ki2018s015,Plastisphere,Seawater,10131,28901,18172
Ki2018s017,Plastisphere,Seawater,9475,30151,19547
Ki2018s020,Plastisphere,Seawater,9289,28189,18065
Ki2018s021,Plastisphere,Seawater,12541,31222,22104
Ki2018s026,Plastisphere,Seawater,10570,33180,21411
Ki2018s028,Plastisphere,Seawater,9970,31680,19420
Ki2018s030,Plastisphere,Seawater,10793,33227,21530
Ki2018s031,Plastisphere,Seawater,11188,29625,19822
Ki2018s032,Plastisphere,Seawater,9022,31572,18214
Ki2018s033,Plastisphere,Seawater,10207,28841,18121
Ki2018s034,Plastisphere,Seawater,10441,33129,20442
Ki2018s035,Plastisphere,Seawater,11146,29590,19675
Ki2018s038,Plastisphere,Seawater,9862,29973,18447
Ki2018s040,Plastisphere,Seawater,9695,27715,17923
Ki2018s042,Plastisphere,Seawater,10313,33220,20545
Ki2018s043,Plastisphere,Seawater,9195,33325,20682
Ki2018s044,Plastisphere,Seawater,10864,33149,20158
Ki2018s046,Plastisphere,Seawater,11439,28865,19337
Ki2018s047,Plastisphere,Seawater,11435,35332,22164
Ki2018s050,Plastisphere,Seawater,11718,33211,21408
Ki2019s008,Plastisphere,Seawater,7857,29700,29217
Ki2019s011,Plastisphere,Seawater,5866,10337,9702
Ki2019s012,Plastisphere,Seawater,4606,8811,7615
Ki2019s017,Plastisphere,Seawater,28115,77947,77391
Ki2019s019,Plastisphere,Seawater,17820,70850,69780
Ki2019s020,Plastisphere,Seawater,20620,57974,57613
Ki2019s021,Plastisphere,Seawater,36868,53445,44065
Ki2019s022,Plastisphere,Seawater,36449,62518,49472
Ki2019s023,Plastisphere,Seawater,34100,53843,44178
Ki2019s025,Plastisphere,Seawater,34286,45770,39352
Ki2019s026,Plastisphere,Seawater,5175,80935,78697
Ki2019s033,Plastisphere,Seawater,51322,56645,85104
Ki2019s035,Plastisphere,Seawater,51955,56980,88085
Ki2019s037,Plastisphere,Seawater,51102,57661,57215
Ki2019s041,Plastisphere,Seawater,3803,14803,7604
Ki2019s042,Plastisphere,Seawater,7712,32195,14426
Ki2019s044,Plastisphere,Seawater,3723,15918,7270
Ki2019s045,Plastisphere,Seawater,3030,14882,4333
Ki2019s052,Plastisphere,Seawater,27952,50487,61195
Ki2019s056,Plastisphere,Seawater,6899,51065,49307
Ki2019s059,Plastisphere,Seawater,4918,78712,76143
MC2014s001,Environment,Freshwater,38340,66706,45432
MC2014s002,Environment,Freshwater,32772,64458,40885
MC2014s003,Environment,Freshwater,34862,64814,42154
MC2014s004,Environment,Freshwater,36379,71307,44796
MC2014s009,Plastisphere,Freshwater,52119,90049,56077
MC2014s010,Plastisphere,Freshwater,39347,62411,46071
MC2014s011,Plastisphere,Freshwater,51809,82465,60809
MC2014s012,Plastisphere,Freshwater,55208,85674,61040
MC2014s013,Environment,Freshwater,24097,46607,18101
MC2014s014,Environment,Freshwater,30994,45416,24997
MC2014s015,Environment,Freshwater,28122,44700,21171
MC2014s016,Environment,Freshwater,30318,46995,24736
MC2016s001,Environment,Freshwater,28354,44363,25109
MC2016s002,Environment,Freshwater,52355,72410,55030
MC2016s003,Environment,Freshwater,52158,70725,52310
MC2016s004,Environment,Freshwater,53838,72443,56885
MC2016s005,Environment,Freshwater,51500,72651,55790
MC2016s010,Plastisphere,Freshwater,68004,83206,67939
MC2016s012,Plastisphere,Freshwater,66679,86951,69410
MC2016s013,Plastisphere,Freshwater,77887,93986,86491
MC2016s015,Environment,Freshwater,34819,73069,26053
MC2016s016,Environment,Freshwater,32703,71884,25075
MC2016s017,Environment,Freshwater,35229,73140,26768
MC2016s018,Environment,Freshwater,31362,71761,24890
MC2016s019,Environment,Freshwater,38238,81479,30717
MC2016s020,Environment,Freshwater,38703,81086,29751
MC2016s021,Environment,Freshwater,32560,75979,31354
MC2016s023,Environment,Freshwater,34168,77098,32545
